Security ID,Exchange,Date,Currency,Price Type,Price
MYBVU1200163,XXXX,20220131,MYR,01,106.151000
MYBVQ1200120,XXXX,20220131,MYR,01,103.758000
CND100002D39,XCFE,20220131,CNY,01,109.419100
USY20721BB49,XSES,20220131,USD,01,117.198000
KR3561037218,XKRX,20220131,KRW,01,114.586200
US50066CAD11,XSES,20220131,USD,01,148.698000
US172967FX46,XNYS,20220131,USD,01,134.344400
TH0623A3C606,XXXX,20220131,THB,01,114.109546
KR3561097212,XKRX,20220131,KRW,01,114.710200
SG6S90978767,XSES,20220131,SGD,01,100.008000
KR3811057222,XKRX,20220131,KRW,01,100.031600
XS0744757526,XHKG,20220131,USD,01,100.102000
US29379VAW37,XNYS,20220131,USD,01,113.099200
USY72570AP21,XSES,20220131,USD,01,100.115000
MYBMO1200017,XXXX,20220131,MYR,01,100.836000
US219350AW53,XNYS,20220131,USD,01,121.317900
IDP000001406,XIDX,20220131,IDR,01,96.100000
CND100004XT1,XCFE,20220131,CNY,01,108.920200
PHY6972FSE16,PDEX,20220131,PHP,01,106.893306
XS0751513572,XHKG,20220131,USD,01,100.222000
US500472AE51,XNYS,20220131,USD,01,121.719400
US651639AP18,XNYS,20220131,USD,01,119.423100
US718546AH74,XNYS,20220131,USD,01,131.687200
KR3811187227,XKRX,20220131,KRW,01,100.156600
CND100004S89,XCFE,20220131,CNY,01,109.851100
KR3546017236,XKRX,20220131,KRW,01,107.750000
US26884TAE29,OTC,20220131,USD,01,131.821700
US13643EAH80,OTC,20220131,USD,01,110.961100
KR3561097238,XKRX,20220131,KRW,01,128.432000
SG3254976487,XSES,20220131,SGD,01,111.415000
USG2113BAA64,XSES,20220131,USD,01,100.510300
US067901AH18,XNYS,20220131,USD,01,122.722100
MYBVN1201760,XXXX,20220131,MYR,01,100.373000
MYBVP1201773,XXXX,20220131,MYR,01,102.482000
MYBVS1201785,XXXX,20220131,MYR,01,103.055000
MYBVW1200185,XXXX,20220131,MYR,01,107.130000
SG6U02980287,XSES,20220131,SGD,01,100.528000
IDG000009705,XIDX,20220131,IDR,01,110.900000
MYBMX1200042,XXXX,20220131,MYR,01,102.357000
USG22004AB41,XHKG,20220131,USD,01,100.510100
XS0766460157,XSES,20220131,USD,01,100.753000
US224044BV89,OTC,20220131,USD,01,158.999800
KR3527027246,XKRX,20220131,KRW,01,107.225300
KR3546027243,XKRX,20220131,KRW,01,107.041400
KR3509017199,XKRX,20220131,KRW,01,113.068500
USG8669QAB61,XSES,20220131,USD,01,100.721700
USG23530AB75,XHKG,20220131,USD,01,114.826500
USY7138AAC46,XSES,20220131,USD,01,100.858000
USY7138AAD29,XSES,20220131,USD,01,114.054000
US001055AF96,XNYS,20220131,USD,01,136.787100
XS0775625246,XHKG,20220131,USD,01,100.812000
US001055AD49,XNYS,20220131,USD,01,142.363300
USG8189YAC87,XHKG,20220131,USD,01,117.590800
US68233JAS33,OTC,20220131,USD,01,128.243800
PHY0486VAB37,PDEX,20220131,PHP,01,113.466620
US25470DAG43,XFRA,20220131,USD,01,111.179400
KR6063321253,XKRX,20220131,KRW,01,111.687300
CND100005875,XCFE,20220131,CNY,01,119.409200
TH0623037C05,XXXX,20220131,THB,01,110.975858
US7425A0BC36,OTC,20220131,USD,01,132.852900
US913017BT50,XNYS,20220131,USD,01,116.707400
XS0782786171,XSES,20220131,USD,01,101.014000
KR35080371B2,XKRX,20220131,KRW,01,100.762500
US277432AL49,XNYS,20220131,USD,01,115.145200
KR3527017254,XKRX,20220131,KRW,01,100.720400
KR3508027256,XKRX,20220131,KRW,01,100.756900
CND1000044N2,XCFE,20220131,CNY,01,124.479400
TH0649037601,XXXX,20220131,THB,01,111.723946
US50076QAE61,YYYY,20220131,USD,01,114.019500
MYBUS1200318,XXXX,20220131,MYR,01,100.580000
USC75088AC53,XSES,20220131,USD,01,135.750000
KR3527017262,XKRX,20220131,KRW,01,112.212600
XS0794206465,XHKG,20220131,USD,01,101.002000
MYBVN1202024,XXXX,20220131,MYR,01,100.644000
CND100004NF1,XCFE,20220131,CNY,01,121.232900
KR3546017194,XKRX,20220131,KRW,01,106.380700
XS0794823152,XHKG,20220131,USD,01,101.023000
AU3CB0195972,XBER,20220131,AUD,01,102.091645
KR3507037264,XKRX,20220131,KRW,01,111.985000
US71654QBE17,XLUX,20220131,USD,01,79.082800
CND100005DP8,XCFE,20220131,CNY,01,114.769500
USY72570AF49,XLUX,20220131,USD,01,125.875000
USY72570AK34,XLUX,20220131,USD,01,129.000000
US893574AF07,XNYS,20220131,USD,01,112.034000
XS0805570354,XDUB,20220131,USD,01,100.499000
US8935268Z94,XNYS,20220131,USD,01,147.926400
XS0803109270,XSES,20220131,USD,01,101.660000
US92343VAU89,XNYS,20220131,USD,01,138.537400
US959802AH24,XNYS,20220131,USD,01,118.527200
US038222AG04,OTC,20220131,USD,01,138.949500
US00206RAS13,XNYS,20220131,USD,01,132.897300
US00209TAB17,XNYS,20220131,USD,01,106.784900
US539830AU31,XNYS,20220131,USD,01,126.727000
US87973RAD26,XSES,20220131,USD,01,112.520000
MYBVS1202726,XXXX,20220131,MYR,01,102.024000
US89352HAE99,XNYS,20220131,USD,01,143.112200
US865622AW48,XNYS,20220131,USD,01,101.162000
TW000A011023,XTAI,20220131,TWD,01,108.633100
KR3561057273,XKRX,20220131,KRW,01,108.095300
US278642AF09,YYYY,20220131,USD,01,105.809600
US31428XAT37,XNYS,20220131,USD,01,103.081600
US373298BN79,OTC,20220131,USD,01,119.575800
MYBVS1202833,XXXX,20220131,MYR,01,102.108000
MYBVP1202821,XXXX,20220131,MYR,01,102.172000
SG6V97984227,XSES,20220131,SGD,01,104.982000
TH010103C800,XXXX,20220131,THB,01,113.913401
US884903BH70,XNYS,20220131,USD,01,134.201900
CND100005HW5,XCFE,20220131,CNY,01,115.866400
US852891AC44,OTC,20220131,USD,01,102.010500
US29379VAY92,XNYS,20220131,USD,01,107.212600
CND10000GBD8,XSHG,20220131,CNY,01,109.779200
SG6V23982402,XXXX,20220131,SGD,01,100.974000
US09256BAE74,OTC,20220131,USD,01,138.401600
US097023AK13,XNYS,20220131,USD,01,146.602400
US09256BAD91,OTC,20220131,USD,01,103.589300
US037411BA28,XFRA,20220131,USD,01,101.375000
US548661CX31,XNYS,20220131,USD,01,114.931100
AU3CB0198075,XXXX,20220131,AUD,01,102.499000
US854502AA92,XNYS,20220131,USD,01,125.555000
SG6W27985103,XXXX,20220131,SGD,01,101.431000
SG6W26985096,XSES,20220131,SGD,01,100.369000
USG2444PAA50,XHKG,20220131,USD,01,100.904100
US29250RAP10,XNYS,20220131,USD,01,143.225800
KR3527037286,XKRX,20220131,KRW,01,105.938700
KR3508017299,XKRX,20220131,KRW,01,102.206600
KR3546017293,XKRX,20220131,KRW,01,102.685400
SG6W43985376,XSES,20220131,SGD,01,107.562000
HK0000125226,XXXX,20220131,USD,01,101.535000
XS0832413651,XXXX,20220131,AUD,01,102.297000
US92343VAW46,XNYS,20220131,USD,01,133.551900
US74251VAF94,OTC,20220131,USD,01,118.870400
US87612EBA38,XNYS,20220131,USD,01,114.528300
XS0831371264,XSES,20220131,USD,01,101.257000
TH0635B37906,XXXX,20220131,THB,01,111.745082
USY7150WAA37,XSES,20220131,USD,01,101.402000
US38141GGM06,XNYS,20220131,USD,01,137.393200
US458140AK64,XDUS,20220131,USD,01,122.960700
US59156RAY45,XNYS,20220131,USD,01,134.463700
US70109HAJ41,XNYS,20220131,USD,01,134.254500
US00037BAC63,XNYS,20220131,USD,01,119.269200
US00440EAH09,XNYS,20220131,USD,01,139.740800
US00817YAJ73,XNYS,20220131,USD,01,113.223600
US037411AY13,XFRA,20220131,USD,01,106.500000
US057224AZ09,XFRA,20220131,USD,01,119.232800
US071813AX74,XNYS,20220131,USD,01,138.452400
US110122AQ18,XNYS,20220131,USD,01,132.245000
US171232AS07,XFRA,20220131,USD,01,143.040000
US29736RAF73,XNYS,20220131,USD,01,108.022100
USY0606WBU37,XSES,20220131,USD,01,101.470000
US828807CL93,XNYS,20220131,USD,01,117.647600
US842400FH15,XNYS,20220131,USD,01,123.947900
US86765BAH24,XNYS,20220131,USD,01,123.625000
US89417EAH27,XNYS,20220131,USD,01,129.300600
US902133AG25,XNYS,20220131,USD,01,148.406100
MYBVZ1200246,XXXX,20220131,MYR,01,114.532000
MYBVZ1200030,XXXX,20220131,MYR,01,107.606000
US559080AC04,XNYS,20220131,USD,01,125.310500
US911312AR75,XNYS,20220131,USD,01,108.349700
KR3508037297,XKRX,20220131,KRW,01,101.838800
XS0828755495,XFRA,20220131,USD,01,101.240000
US30251BAC28,OTC,20220131,USD,01,140.883500
US63946BAJ98,XBER,20220131,USD,01,114.653700
PHY6972FRE25,PDEX,20220131,PHP,01,105.894643
US756109AG90,XNYS,20220131,USD,01,126.706500
US373298BR83,OTC,20220131,USD,01,135.551300
KR35080172A6,XKRX,20220131,KRW,01,101.937400
XS0836465608,XHKG,20220131,USD,01,104.563000
US842400FL27,XNYS,20220131,USD,01,125.934900
US91913YAP51,XNYS,20220131,USD,01,170.882500
PHY6972FRD42,PDEX,20220131,PHP,01,111.335583
KR35460272A4,XKRX,20220131,KRW,01,102.499200
USQ8809VAD12,XFRA,20220131,USD,01,102.549000
USY71548BZ60,XSES,20220131,USD,01,109.026000
XS0848436365,XSES,20220131,USD,01,101.897000
KR35610472A9,XKRX,20220131,KRW,01,109.447200
KR3507017233,XKRX,20220131,KRW,01,107.758300
CND10000GB81,XSHG,20220131,CNY,01,101.846000
TW000A011072,XTAI,20220131,TWD,01,107.657800
KR31050572A2,XKRX,20220131,KRW,01,101.144000
SG6Y09987547,XXXX,20220131,SGD,01,104.615000
XS0852986156,XHKG,20220131,USD,01,101.250000
XS0852986313,XHKG,20220131,USD,01,117.662000
US00287YAM12,XNYS,20220131,USD,01,112.388900
KR35610272B1,XKRX,20220131,KRW,01,117.632100
MYBVX1203963,XXXX,20220131,MYR,01,102.244000
XS0856597314,XHKG,20220131,USD,01,101.413000
CND100005YH1,XCFE,20220131,CNY,01,121.705700
US056752AB41,XSES,20220131,USD,01,101.534300
KR31050572B0,XKRX,20220131,KRW,01,101.166500
XS0858461758,XHKG,20220131,USD,01,101.713000
US42217KBB17,XNYS,20220131,USD,01,117.073500
XS0860855344,XHKG,20220131,USD,01,101.551000
KR35270472B8,XKRX,20220131,KRW,01,105.030200
XS0861981180,XDUB,20220131,USD,01,99.875000
XS0841678278,XSES,20220131,SGD,01,101.328000
XS0863524277,XLON,20220131,USD,01,102.257600
KR35610272C9,XKRX,20220131,KRW,01,111.853700
KR3507037165,XKRX,20220131,KRW,01,108.071000
KR6063323234,XKRX,20220131,KRW,01,114.260300
KR35070372C0,XKRX,20220131,KRW,01,103.993000
KR35090172C0,XKRX,20220131,KRW,01,103.993000
KR6063322277,XKRX,20220131,KRW,01,109.114400
US494550AW68,XNYS,20220131,USD,01,131.068200
XS0875871690,XHKG,20220131,USD,01,101.541000
XS0872917660,XSES,20220131,USD,01,102.045000
XS0873639701,XHKG,20220131,USD,01,101.792000
XS0875298191,XSES,20220131,USD,01,102.922000
XS0871996491,XHKG,20220131,USD,01,101.540000
XS0875759184,XSES,20220131,USD,01,101.830000
XS0876086975,XSES,20220131,USD,01,102.415000
US694476AD42,OTC,20220131,USD,01,122.659400
KR6063323317,XKRX,20220131,KRW,01,105.911100
USY8620BAQ42,XSES,20220131,USD,01,100.616000
KR3507017316,XKRX,20220131,KRW,01,103.211900
XS0880134258,XDUB,20220131,USD,01,108.442000
XS0881740384,XDUB,20220131,USD,01,119.738000
XS0876773119,XKLS,20220131,USD,01,100.127000
XS0875624099,XHKG,20220131,USD,01,100.791000
KR10350172C8,XKRX,20220131,KRW,01,106.551500
US30251BAD01,OTC,20220131,USD,01,117.265400
CND1000068J9,XCFE,20220131,CNY,01,110.302500
US48249DAA90,OTC,20220131,USD,01,125.807700
XS0880288997,XHKG,20220131,USD,01,101.795000
MYBVS1300702,XXXX,20220131,MYR,01,102.255000
MYBVX1300744,XXXX,20220131,MYR,01,102.656000
KR3507027323,XKRX,20220131,KRW,01,105.589500
KR3508037321,XKRX,20220131,KRW,01,103.651000
USY0606WBQ25,OTC,20220131,USD,01,132.863000
MYBVS1300900,XXXX,20220131,MYR,01,102.769000
XS0890073991,XHKG,20220131,USD,01,102.294000
XS0893206747,XHKG,20220131,USD,01,106.416000
US775109AX99,XNYS,20220131,USD,01,107.635600
VNBVDB130581,HSTC,20220131,VND,01,107.220000
TW000A021030,XTAI,20220131,TWD,01,107.831800
TH0993033305,XXXX,20220131,THB,01,103.532571
US570535AP98,XNYS,20220131,USD,01,118.136400
XS0900763029,XSES,20220131,USD,01,102.125000
MYBVV1301001,XXXX,20220131,MYR,01,102.727000
NZTRPD0328L1,XXXX,20220131,NZD,01,114.665218
TW000A022012,XTAI,20220131,TWD,01,110.535800
KR6063322210,XKRX,20220131,KRW,01,113.360800
US260543BY86,XNYS,20220131,USD,01,172.213400
CND10000GT65,XSHG,20220131,CNY,01,102.500000
US68389XAM74,XFRA,20220131,USD,01,113.355600
US20030NBG51,XFRA,20220131,USD,01,114.795200
US931142CY78,XNYS,20220131,USD,01,129.257500
US377372AJ68,XNYS,20220131,USD,01,116.046800
MYBGT1300016,XXXX,20220131,MYR,01,101.745000
MYBVN1202818,XXXX,20220131,MYR,01,100.788000
MYBUS0800878,XXXX,20220131,MYR,01,105.545000
MYBUP1000946,XXXX,20220131,MYR,01,101.316000
MYBUS0901163,XXXX,20220131,MYR,01,105.496000
MYBUS1000973,XXXX,20220131,MYR,01,104.229000
MYBUX0901171,XXXX,20220131,MYR,01,109.886000
MYBVP1100413,XXXX,20220131,MYR,01,102.809000
MYBVS0909248,XXXX,20220131,MYR,01,105.496000
MYBVS1100409,XXXX,20220131,MYR,01,105.483000
MYBVX0909255,XXXX,20220131,MYR,01,109.886000
MYBVP1204579,XKLS,20220131,MYR,01,101.721000
MYBVO1200109,XXXX,20220131,MYR,01,101.892000
MYBVN1203907,XXXX,20220131,MYR,01,101.243000
MYBVP1300690,XXXX,20220131,MYR,01,101.994000
MYBVS1203955,XXXX,20220131,MYR,01,102.114000
MYBPS1200748,XXXX,20220131,MYR,01,101.783000
MYBGS1200598,XXXX,20220131,MYR,01,102.183000
MYBMX0600028,XXXX,20220131,MYR,01,105.889000
US035242AB27,XNYS,20220131,USD,01,105.083200
US585055AY20,XNYS,20220131,USD,01,117.220300
VNBVDB130607,HSTC,20220131,VND,01,107.605000
US14310FAA03,OTC,20220131,USD,01,124.753000
KR3507027331,XKRX,20220131,KRW,01,104.487600
XS0911024635,XDUB,20220131,USD,01,116.900900
US78413HAB50,OTC,20220131,USD,01,109.250000
KR6063323333,XKRX,20220131,KRW,01,104.751200
XS0909306135,XHKG,20220131,USD,01,101.547000
KR3527017346,XKRX,20220131,KRW,01,104.875900
USY20721BE87,XSES,20220131,USD,01,109.287000
USG22004AE89,XHKG,20220131,USD,01,102.180300
KR6030203345,XKRX,20220131,KRW,01,104.177900
USY20721BD05,XSES,20220131,USD,01,102.551000
US76720AAG13,XNYS,20220131,USD,01,114.071000
US195869AN27,OTC,20220131,USD,01,109.738400
US219023AC21,XNYS,20220131,USD,01,136.156900
USG81877AD72,XHKG,20220131,USD,01,109.570100
KR6017672348,XKRX,20220131,KRW,01,104.572800
KR3527057342,XKRX,20220131,KRW,01,104.416300
XS0922882344,XSES,20220131,USD,01,101.984000
AU3CB0198992,XFRA,20220131,AUD,01,102.738000
US12625GAD60,XHKG,20220131,USD,01,104.862400
XS0925008533,XSES,20220131,USD,01,102.951000
US20030NBB64,XFRA,20220131,USD,01,139.824200
USY8620BAP68,XSES,20220131,USD,01,101.249000
XS0928126340,XHKG,20220131,USD,01,101.775000
USY7138AAF76,XSES,20220131,USD,01,109.804000
USY7138AAE02,XSES,20220131,USD,01,102.938000
US71647NAA72,XBER,20220131,USD,01,94.375000
USG8449VAB20,XHKG,20220131,USD,01,102.138100
USG8449VAC03,XHKG,20220131,USD,01,120.523000
TW000B618B72,ROCO,20220131,TWD,01,100.871000
MYBVN1202198,XXXX,20220131,MYR,01,100.890000
MYBVN1200689,XXXX,20220131,MYR,01,100.100000
MYBPX1300431,XXXX,20220131,MYR,01,102.881000
MYBPZ1300394,XXXX,20220131,MYR,01,103.996000
MYBPZ1300378,XXXX,20220131,MYR,01,104.380000
MYBPX1300449,XXXX,20220131,MYR,01,102.668000
MYBPY1300421,XXXX,20220131,MYR,01,103.289000
MYBPZ1300402,XXXX,20220131,MYR,01,103.855000
MYBPZ1300386,XXXX,20220131,MYR,01,104.346000
MYBPY1300413,XXXX,20220131,MYR,01,103.520000
MYBPV1300286,XXXX,20220131,MYR,01,101.851000
KR6063323242,XKRX,20220131,KRW,01,112.783500
KR6066574353,XXXX,20220131,KRW,01,101.767800
MYBVV1200179,XXXX,20220131,MYR,01,106.319000
US893521AB05,XNYS,20220131,USD,01,152.164100
MYBVZ0902487,XXXX,20220131,MYR,01,114.902000
MYBVS1300991,XXXX,20220131,MYR,01,102.540000
CND10000FZ50,XSHG,20220131,CNY,01,103.000000
MYBMS1300057,XXXX,20220131,MYR,01,101.165000
XS0831700421,XSES,20220131,USD,01,101.327000
US075887AX76,XNYS,20220131,USD,01,112.646200
US585055AQ95,XNYS,20220131,USD,01,143.426000
MYBPS1300340,XXXX,20220131,MYR,01,101.957000
MYBPT1300314,XXXX,20220131,MYR,01,101.633000
MYBPU1300296,XXXX,20220131,MYR,01,101.759000
USG81877AA34,XHKG,20220131,USD,01,101.800200
US124857AF05,OTC,20220131,USD,01,126.057300
MYBPP1300254,XXXX,20220131,MYR,01,102.150000
KR3527027279,XKRX,20220131,KRW,01,111.936400
US50076QAR74,XBER,20220131,USD,01,136.882700
US534187BA67,XNYS,20220131,USD,01,145.074500
US25470DAJ81,XFRA,20220131,USD,01,110.778500
US12625GAC87,XHKG,20220131,USD,01,101.778600
US29379VAM54,XNYS,20220131,USD,01,140.575700
USG4690AAB38,XSES,20220131,USD,01,101.370500
US14149YAW84,XNYS,20220131,USD,01,108.382200
US224044CC99,OTC,20220131,USD,01,109.576400
MYBVY1200207,XXXX,20220131,MYR,01,109.582000
US037833AL42,YYYY,20220131,USD,01,110.441800
US458140AP51,XFRA,20220131,USD,01,114.173500
US822582AD40,XNYS,20220131,USD,01,139.859600
US911312AJ59,XNYS,20220131,USD,01,138.544100
US931142DB66,XNYS,20220131,USD,01,138.368400
USY20721BH19,XSES,20220131,USD,01,106.788000
US842400FQ14,XNYS,20220131,USD,01,107.649200
KR6063323374,XKRX,20220131,KRW,01,111.647500
XS0955024236,XSES,20220131,USD,01,105.238000
TH0993035706,XXXX,20220131,THB,01,110.877654
US494550BP09,XNYS,20220131,USD,01,111.230200
